president,enddate,Approve,Disapprove
Donald Trump,3/17/2017,43.948636,48.76658
Donald Trump,3/19/2017,43.608387,52.626013
Donald Trump,3/18/2017,42.948636,50.76658
Donald Trump,3/18/2017,37.861441,56.539189
Donald Trump,3/19/2017,46.151563,47.780389
Donald Trump,3/17/2017,40.527124,47.830237
Donald Trump,3/20/2017,45.19239,49.503737
Donald Trump,3/19/2017,39.861441,53.539189
Donald Trump,3/19/2017,42.948636,51.76658
Donald Trump,3/20/2017,44.608387,51.626013
Donald Trump,3/20/2017,47.051563,46.580389
Donald Trump,3/19/2017,49.686784,45.055805
Donald Trump,3/20/2017,43.584929,50.955382
Donald Trump,3/21/2017,47.651563,46.280389
Donald Trump,3/21/2017,38.750369,54.742388
Donald Trump,3/20/2017,43.948636,48.76658
Donald Trump,3/20/2017,39.861441,54.539189
Donald Trump,3/21/2017,40.861441,53.539189
Donald Trump,3/21/2017,40.948636,50.76658
Donald Trump,3/23/2017,39.613321,54.248116
Donald Trump,3/21/2017,40.608387,55.626013
Donald Trump,3/21/2017,41.948636,47.76658
Donald Trump,3/22/2017,47.251563,46.780389
Donald Trump,3/22/2017,39.861441,54.539189
Donald Trump,3/23/2017,49.351563,45.080389
Donald Trump,3/22/2017,40.948636,52.76658
Donald Trump,3/22/2017,41.608387,54.626013
Donald Trump,3/23/2017,38.914807,56.031268
Donald Trump,3/23/2017,38.608387,57.626013
Donald Trump,3/23/2017,40.948636,51.76658
Donald Trump,3/23/2017,41.861441,52.539189
Donald Trump,3/24/2017,47.551563,46.680389
Donald Trump,3/24/2017,41.861441,52.539189
Donald Trump,3/25/2017,47.351563,47.480389
Donald Trump,3/24/2017,40.948636,53.76658
Donald Trump,3/25/2017,39.948636,51.76658
Donald Trump,3/26/2017,39.608387,55.626013
Donald Trump,3/25/2017,40.861441,52.539189
Donald Trump,3/26/2017,45.551563,48.380389
Donald Trump,3/27/2017,38.404286,48.081642
Donald Trump,3/26/2017,36.861441,55.539189
Donald Trump,3/27/2017,38.05001,51.794843
Donald Trump,3/27/2017,45.851563,47.480389
Donald Trump,3/26/2017,39.948636,52.76658
Donald Trump,3/25/2017,44.686784,51.055805
Donald Trump,3/27/2017,44.08833,53.353891
Donald Trump,3/27/2017,39.608387,56.626013
Donald Trump,3/27/2017,41.948636,49.76658
Donald Trump,3/28/2017,44.751563,47.780389
Donald Trump,3/27/2017,36.861441,54.539189
Donald Trump,3/28/2017,38.608387,57.626013
Donald Trump,3/30/2017,35.539711,55.592009
Donald Trump,3/28/2017,41.948636,48.76658
Donald Trump,3/28/2017,41.37161,51.419838
Donald Trump,3/28/2017,37.948636,54.76658
Donald Trump,3/28/2017,35.861441,57.539189
Donald Trump,3/29/2017,46.351563,45.680389
Donald Trump,3/30/2017,41.613321,55.248116
Donald Trump,3/29/2017,37.948636,53.76658
Donald Trump,3/29/2017,38.861441,55.539189
Donald Trump,3/28/2017,39.608485,53.209337
Donald Trump,3/29/2017,34.914807,60.031268
Donald Trump,3/29/2017,36.743003,54.945964
Donald Trump,3/30/2017,46.851563,45.080389
Donald Trump,3/29/2017,38.608387,57.626013
Donald Trump,3/30/2017,38.861441,54.539189
Donald Trump,3/31/2017,48.551563,44.480389
