enddate,approval_type,rate,year
2017-02-23,disapprove,50.539189,2017
2017-02-25,approve,46.451563,2017
2017-02-25,disapprove,46.480389,2017
2017-02-24,approve,40.948636,2017
2017-02-24,disapprove,51.76658,2017
2017-02-24,approve,41.861441,2017
2017-02-24,disapprove,51.539189,2017
2017-02-26,approve,45.608387,2017
2017-02-26,disapprove,50.626013,2017
2017-02-25,approve,40.948636,2017
2017-02-25,disapprove,51.76658,2017
2017-02-25,approve,41.861441,2017
2017-02-25,disapprove,52.539189,2017
2017-02-26,approve,46.951563,2017
2017-02-26,disapprove,46.780389,2017
2017-02-27,approve,44.608387,2017
2017-02-27,disapprove,51.626013,2017
2017-02-26,approve,42.948636,2017
2017-02-26,disapprove,51.76658,2017
2017-02-27,approve,47.451563,2017
2017-02-27,disapprove,46.880389,2017
2017-02-26,approve,42.861441,2017
2017-02-26,disapprove,52.539189,2017
2017-02-26,approve,49.686784,2017
2017-02-26,disapprove,46.055805,2017
2017-02-28,approve,47.451563,2017
2017-02-28,disapprove,46.980389,2017
2017-02-27,approve,42.861441,2017
2017-02-27,disapprove,52.539189,2017
2017-02-27,approve,41.948636,2017
2017-02-27,disapprove,50.76658,2017
2017-02-28,approve,42.948636,2017
2017-02-28,disapprove,48.76658,2017
2017-02-28,approve,43.861441,2017
2017-02-28,disapprove,50.539189,2017
2017-02-28,approve,44.608387,2017
2017-02-28,disapprove,51.626013,2017
2017-03-01,approve,41.948636,2017
2017-03-01,disapprove,51.76658,2017
2017-03-01,approve,47.051563,2017
2017-03-01,disapprove,47.780389,2017
2017-03-02,approve,42.613321,2017
2017-03-02,disapprove,52.248116,2017
2017-03-04,approve,42.539711,2017
2017-03-04,disapprove,52.592009,2017
2017-03-02,approve,47.151563,2017
2017-03-02,disapprove,47.380389,2017
2017-03-01,approve,46.608387,2017
2017-03-01,disapprove,49.626013,2017
2017-03-01,approve,43.948636,2017
2017-03-01,disapprove,52.76658,2017
2017-03-01,approve,43.861441,2017
2017-03-01,disapprove,49.539189,2017
2017-03-02,approve,46.948636,2017
2017-03-02,disapprove,43.76658,2017
2017-03-03,approve,46.951563,2017
2017-03-03,disapprove,47.280389,2017
2017-03-02,approve,43.861441,2017
2017-03-02,disapprove,49.539189,2017
2017-03-02,approve,47.608387,2017
2017-03-02,disapprove,48.626013,2017
2017-03-03,approve,43.861441,2017
2017-03-03,disapprove,49.539189,2017
2017-03-04,approve,46.751563,2017
2017-03-04,disapprove,46.780389,2017
2017-03-03,approve,44.948636,2017
2017-03-03,disapprove,48.76658,2017
2017-03-04,approve,44.727772,2017
2017-03-04,disapprove,50.495022,2017
